type,tick,vehicle_id,total_distance,total_time,stops_made,average_speed,current_speed,is_dwelling,dwell_time_remaining,position_lon,position_lat,gap_m,vehicle_a,vehicle_b,active_vehicles,avg_tick_time_ms,total_stops
system,32,,,,,,,,,,,,,,3.0,0.0,3.0
vehicle,33,V0,0.00205,1048.108612345623,1.0,0.0,0.0001,True,276.51595657429317,-84.05224068,9.936396846,,,,,,
vehicle,33,V1,0.0013100000000000002,1010.0441210699893,1.0,0.0,9e-05,True,323.5616018210071,-84.05227116,9.93629305,,,,,,
vehicle,33,V2,0.0035700000000000003,1075.6662843816177,1.0,0.0,0.0001,True,210.03266196074256,-84.05075913,9.935585816,,,,,,
gap,33,,,,,,,,,,,12.211330664621194,V0,V1,,,
gap,33,,,,,,,,,,,186.33177658262042,V1,V2,,,
system,33,,,,,,,,,,,,,,3.0,0.0,3.0
vehicle,34,V0,0.00205,1074.5198489424047,1.0,0.0,0.0001,True,287.51595657429317,-84.05224068,9.936396846,,,,,,
vehicle,34,V1,0.0013100000000000002,1055.9747252126197,1.0,0.0,9e-05,True,334.5616018210071,-84.05227116,9.93629305,,,,,,
vehicle,34,V2,0.0035700000000000003,1106.81747410769,1.0,0.0,0.0001,True,221.03266196074256,-84.05075913,9.935585816,,,,,,
gap,34,,,,,,,,,,,12.211330664621194,V0,V1,,,
gap,34,,,,,,,,,,,186.33177658262042,V1,V2,,,
system,34,,,,,,,,,,,,,,3.0,0.0,3.0
vehicle,35,V0,0.00205,1099.3571588499497,1.0,0.0,0.0001,True,299.51595657429317,-84.05224068,9.936396846,,,,,,
vehicle,35,V1,0.0013100000000000002,1074.6902464846958,1.0,0.0,9e-05,True,346.5616018210071,-84.05227116,9.93629305,,,,,,
vehicle,35,V2,0.0035700000000000003,1135.3071685923017,1.0,0.0,0.0001,True,233.03266196074256,-84.05075913,9.935585816,,,,,,
gap,35,,,,,,,,,,,12.211330664621194,V0,V1,,,
gap,35,,,,,,,,,,,186.33177658262042,V1,V2,,,
system,35,,,,,,,,,,,,,,3.0,0.0,3.0
vehicle,36,V0,0.00205,1143.5903691116214,1.0,0.0,0.0001,True,310.51595657429317,-84.05224068,9.936396846,,,,,,
vehicle,36,V1,0.0013100000000000002,1112.853991450843,1.0,0.0,9e-05,True,357.5616018210071,-84.05227116,9.93629305,,,,,,
